"","Year","Country","Income","LifeExp","region","Population"
"1","1800","Afghanistan",603,28.2,"Asia",3280000
"2","1800","Albania",667,35.4,"Europe",410000
"3","1800","Algeria",715,28.8,"Africa",2500000
"4","1800","Angola",618,27,"Africa",1570000
"5","1800","Antigua and Barbuda",757,33.5,"Americas",37000
"6","1800","Argentina",1510,33.2,"Americas",534000
"7","1800","Armenia",514,34,"Asia",413000
"8","1800","Australia",814,34,"Oceania",351000
"9","1800","Austria",1850,34.4,"Europe",3210000
"10","1800","Azerbaijan",775,29.2,"Asia",880000
"11","1800","Bahamas",1450,35.2,"Americas",27400
"12","1800","Bahrain",1240,30.3,"Asia",64500
"13","1800","Bangladesh",876,25.5,"Asia",19200000
"14","1800","Barbados",913,32.1,"Americas",81700
"15","1800","Belarus",608,36.2,"Europe",2360000
"16","1800","Belgium",2410,40,"Europe",3140000
"17","1800","Belize",579,26.5,"Americas",25500
"18","1800","Benin",597,31,"Africa",637000
"19","1800","Bhutan",629,28.8,"Asia",90000
"20","1800","Bosnia and Herzegovina",669,35.1,"Europe",852000
"21","1800","Botswana",397,33.6,"Africa",121000
"22","1800","Brazil",1110,32,"Americas",3640000
"23","1800","Bulgaria",1090,35.8,"Europe",1990000
"24","1800","Burkina Faso",480,29.2,"Africa",1670000
"25","1800","Burundi",418,31.5,"Africa",899000
"26","1800","Cambodia",903,35,"Asia",2090000
"27","1800","Cameroon",626,28.8,"Africa",1860000
"28","1800","Canada",1310,39,"Americas",646000
"29","1800","Central African Republic",424,30,"Africa",479000
"30","1800","Chad",418,30.9,"Africa",1430000
"31","1800","Chile",1030,32,"Americas",771000
"32","1800","China",984,32,"Asia",322000000
"33","1800","Colombia",962,32,"Americas",1210000
"34","1800","Comoros",696,32.1,"Africa",56300
"35","1800","Congo, Dem. Rep.",485,31.6,"Africa",5160000
"36","1800","Costa Rica",775,30.2,"Americas",52000
"37","1800","Cote d'Ivoire",812,31.2,"Africa",1090000
"38","1800","Croatia",1080,36.1,"Europe",1230000
"39","1800","Cuba",864,32.2,"Americas",345000
"40","1800","Cyprus",853,38.5,"Asia",184000
"41","1800","Czech Republic",1920,35,"Europe",5520000
"42","1800","Denmark",2010,37.4,"Europe",1060000
"43","1800","Djibouti",752,29.9,"Africa",22800
"44","1800","Dominican Republic",667,29.9,"Americas",89000
"45","1800","Ecuador",529,32.9,"Americas",500000
"46","1800","Egypt",790,33,"Africa",4240000
"47","1800","El Salvador",974,28.7,"Americas",248000
"48","1800","Equatorial Guinea",356,29.8,"Africa",80400
"49","1800","Eritrea",532,30.2,"Africa",205000
"50","1800","Estonia",938,36.1,"Europe",334000
"51","1800","Ethiopia",523,29.7,"Africa",2950000
"52","1800","Fiji",785,26.1,"Oceania",131000
"53","1800","Finland",1240,36.6,"Europe",978000
"54","1800","France",1800,34,"Europe",29400000
"55","1800","Gabon",390,30.6,"Africa",158000
"56","1800","Gambia",813,28.8,"Africa",103000
"57","1800","Georgia",543,31.9,"Asia",1070000
