"","county_name","party","year","candidate","candidatevotes","totalvotes","percent"
"1","ABBEVILLE","REPUBLICAN",2016,"DONALD TRUMP",6763,10775,62.7656612529002
"2","ACADIA","REPUBLICAN",2020,"DONALD J TRUMP",22596,28425,79.4934036939314
"3","ACCOMACK","REPUBLICAN",2004,"GEORGE W. BUSH",7726,13356,57.8466606768494
"4","ADA","REPUBLICAN",2004,"GEORGE W. BUSH",94641,155002,61.0579218332667
"5","ADAIR","REPUBLICAN",2016,"DONALD TRUMP",19915,28783,69.1901469617483
"6","ADAMS","REPUBLICAN",2004,"GEORGE W. BUSH",160441,284640,56.3662872400225
"7","ADDISON","DEMOCRAT",2008,"BARACK OBAMA",13202,19238,68.6245971514711
"8","AIKEN","REPUBLICAN",2004,"GEORGE W. BUSH",39077,59492,65.6844617763733
"9","AITKIN","REPUBLICAN",2020,"DONALD J TRUMP",6258,10025,62.4239401496259
"10","ALACHUA","DEMOCRAT",2020,"JOSEPH R BIDEN JR",89704,142604,62.9042663599899
"11","ALAMANCE","REPUBLICAN",2000,"GEORGE W. BUSH",29305,47091,62.2305748444501
"12","ALAMEDA","DEMOCRAT",2020,"JOSEPH R BIDEN JR",617659,770070,80.2081628942823
"13","ALAMOSA","DEMOCRAT",2012,"BARACK OBAMA",3811,6715,56.7535368577811
"14","ALBANY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",108566,173471,62.584524214422
"15","ALBEMARLE","DEMOCRAT",2016,"HILLARY CLINTON",33345,56726,58.7825688396855
"16","ALCONA","REPUBLICAN",2020,"DONALD J TRUMP",4848,7064,68.6296715741789
"17","ALCORN","REPUBLICAN",2020,"DONALD J TRUMP",12818,15793,81.1625403659849
"18","ALEXANDER","REPUBLICAN",2016,"DONALD TRUMP",15389,21117,72.8749348865843
"19","ALEXANDRIA","DEMOCRAT",2016,"HILLARY CLINTON",57242,75770,75.5470502837535
"20","ALEXANDRIA CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",66240,247563,26.7568255353183
"21","ALFALFA","REPUBLICAN",2016,"DONALD TRUMP",1933,2258,85.6067316209035
"22","ALGER","REPUBLICAN",2020,"DONALD J TRUMP",3014,5128,58.7753510140406
"23","ALLAMAKEE","REPUBLICAN",2016,"DONALD TRUMP",4093,6923,59.1217680196447
"24","ALLEGAN","REPUBLICAN",2004,"GEORGE W. BUSH",34022,53907,63.1123972767915
"25","ALLEGANY","REPUBLICAN",2016,"DONALD TRUMP",33795,49346,68.4857941879788
"26","ALLEGHANY","REPUBLICAN",2016,"DONALD TRUMP",8688,12640,68.7341772151899
"27","ALLEGHENY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",429065,719733,59.6144681430475
"28","ALLEN","REPUBLICAN",2004,"GEORGE W. BUSH",128807,201043,64.0693781927249
"29","ALLENDALE","DEMOCRAT",2012,"BARACK OBAMA",3297,4163,79.1976939706942
"30","ALPENA","REPUBLICAN",2020,"DONALD J TRUMP",10686,16969,62.9736578466616
"31","ALPINE","DEMOCRAT",2020,"JOSEPH R BIDEN JR",476,741,64.2375168690958
"32","AMADOR","REPUBLICAN",2004,"GEORGE W. BUSH",10479,16879,62.0830617927602
"33","AMELIA","REPUBLICAN",2016,"DONALD TRUMP",4708,7040,66.875
"34","AMHERST","REPUBLICAN",2016,"DONALD TRUMP",9719,15396,63.1267861782281
"35","AMITE","REPUBLICAN",2020,"DONALD J TRUMP",4503,7196,62.5764313507504
